
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 29-Oct-2025 at 22:26:08.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    1.7375   9.8418769E+05   1.4112811E+06   9.8086554E+05   7.8595248E+05   1.2131106E+06   7.8105247E+05
    1.7500   9.8405424E+05   1.4117498E+06   9.8064795E+05   7.8571657E+05   1.2136973E+06   7.8081386E+05
    1.7625   9.8393328E+05   1.4121980E+06   9.8044091E+05   7.8548824E+05   1.2142643E+06   7.8059587E+05
    1.7750   9.8382539E+05   1.4126246E+06   9.8024518E+05   7.8526827E+05   1.2148112E+06   7.8039822E+05
    1.7875   9.8373014E+05   1.4130300E+06   9.8006053E+05   7.8505747E+05   1.2153375E+06   7.8022041E+05
    1.8000   9.8364778E+05   1.4134135E+06   9.7988753E+05   7.8485661E+05   1.2158432E+06   7.8006174E+05
    1.8125   9.8357789E+05   1.4137753E+06   9.7972631E+05   7.8466641E+05   1.2163283E+06   7.7992136E+05
    1.8250   9.8352007E+05   1.4141153E+06   9.7957735E+05   7.8448758E+05   1.2167929E+06   7.7979827E+05
    1.8375   9.8347374E+05   1.4144336E+06   9.7944129E+05   7.8432076E+05   1.2172371E+06   7.7969137E+05
    1.8500   9.8343824E+05   1.4147297E+06   9.7931903E+05   7.8416659E+05   1.2176613E+06   7.7959956E+05
    1.8625   9.8341291E+05   1.4150035E+06   9.7921172E+05   7.8402563E+05   1.2180657E+06   7.7952176E+05
    1.8750   9.8339708E+05   1.4152543E+06   9.7912070E+05   7.8389842E+05   1.2184504E+06   7.7945697E+05
    1.8875   9.8339024E+05   1.4154811E+06   9.7904751E+05   7.8378545E+05   1.2188154E+06   7.7940436E+05
    1.9000   9.8339228E+05   1.4156828E+06   9.7899400E+05   7.8368718E+05   1.2191607E+06   7.7936327E+05
    1.9125   9.8340269E+05   1.4158582E+06   9.7896141E+05   7.8360403E+05   1.2194858E+06   7.7933329E+05
    1.9250   9.8342176E+05   1.4160060E+06   9.7895145E+05   7.8353638E+05   1.2197901E+06   7.7931424E+05
    1.9375   9.8344963E+05   1.4161248E+06   9.7896530E+05   7.8348459E+05   1.2200730E+06   7.7930617E+05
    1.9500   9.8348671E+05   1.4162134E+06   9.7900399E+05   7.8344898E+05   1.2203334E+06   7.7930938E+05
    1.9625   9.8353354E+05   1.4162705E+06   9.7906826E+05   7.8342986E+05   1.2205703E+06   7.7932430E+05
    1.9750   9.8359069E+05   1.4162955E+06   9.7915846E+05   7.8342749E+05   1.2207823E+06   7.7935156E+05
    1.9875   9.8365871E+05   1.4162878E+06   9.7927463E+05   7.8344213E+05   1.2209683E+06   7.7939183E+05
    2.0000   9.8373808E+05   1.4162472E+06   9.7941647E+05   7.8347397E+05   1.2211269E+06   7.7944584E+05
    2.0125   9.8382918E+05   1.4161740E+06   9.7958340E+05   7.8352319E+05   1.2212569E+06   7.7951431E+05
    2.0250   9.8393237E+05   1.4160688E+06   9.7977472E+05   7.8358989E+05   1.2213571E+06   7.7959791E+05
    2.0375   9.8404753E+05   1.4159324E+06   9.7998915E+05   7.8367412E+05   1.2214267E+06   7.7969723E+05
    2.0500   9.8417474E+05   1.4157661E+06   9.8022559E+05   7.8377587E+05   1.2214648E+06   7.7981280E+05
    2.0625   9.8431381E+05   1.4155712E+06   9.8048263E+05   7.8389501E+05   1.2214707E+06   7.7994503E+05
    2.0750   9.8446456E+05   1.4153490E+06   9.8075886E+05   7.8403136E+05   1.2214439E+06   7.8009427E+05
    2.0875   9.8462685E+05   1.4151009E+06   9.8105282E+05   7.8418462E+05   1.2213843E+06   7.8026084E+05
    2.1000   9.8480060E+05   1.4148282E+06   9.8136309E+05   7.8435440E+05   1.2212914E+06   7.8044502E+05
    2.1125   9.8498585E+05   1.4145318E+06   9.8168829E+05   7.8454026E+05   1.2211654E+06   7.8064710E+05
    2.1250   9.8518280E+05   1.4142125E+06   9.8202715E+05   7.8474168E+05   1.2210060E+06   7.8086742E+05
    2.1375   9.8539181E+05   1.4138707E+06   9.8237853E+05   7.8495811E+05   1.2208132E+06   7.8110636E+05
    2.1500   9.8561341E+05   1.4135068E+06   9.8274148E+05   7.8518897E+05   1.2205869E+06   7.8136441E+05
    2.1625   9.8584810E+05   1.4131203E+06   9.8311512E+05   7.8543371E+05   1.2203269E+06   7.8164208E+05
    2.1750   9.8609657E+05   1.4127112E+06   9.8349884E+05   7.8569182E+05   1.2200330E+06   7.8194000E+05
    2.1875   9.8635938E+05   1.4122787E+06   9.8389212E+05   7.8596282E+05   1.2197049E+06   7.8225879E+05
    2.2000   9.8663705E+05   1.4118223E+06   9.8429462E+05   7.8624635E+05   1.2193421E+06   7.8259910E+05
    2.2125   9.8692995E+05   1.4113415E+06   9.8470611E+05   7.8654209E+05   1.2189443E+06   7.8296157E+05
    2.2250   9.8723826E+05   1.4108356E+06   9.8512643E+05   7.8684983E+05   1.2185110E+06   7.8334673E+05
    2.2375   9.8756192E+05   1.4103043E+06   9.8555544E+05   7.8716941E+05   1.2180417E+06   7.8375504E+05
    2.2500   9.8790069E+05   1.4097476E+06   9.8599298E+05   7.8750077E+05   1.2175362E+06   7.8418677E+05
    2.2625   9.8825407E+05   1.4091655E+06   9.8643884E+05   7.8784387E+05   1.2169943E+06   7.8464203E+05
    2.2750   9.8862136E+05   1.4085588E+06   9.8689264E+05   7.8819869E+05   1.2164160E+06   7.8512071E+05
    2.2875   9.8900183E+05   1.4079277E+06   9.8735402E+05   7.8856525E+05   1.2158014E+06   7.8562248E+05
    2.3000   9.8939454E+05   1.4072734E+06   9.8782240E+05   7.8894351E+05   1.2151510E+06   7.8614678E+05
    2.3125   9.8979855E+05   1.4065967E+06   9.8829715E+05   7.8933344E+05   1.2144654E+06   7.8669281E+05
